fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,type
7.4,0.7,0,1.9,0.076,0.011,0.034,997.8,3.51,0.56,9.4,5,red
7.8,0.88,0,2.6,0.098,0.025,0.067,996.8,3.2,0.68,9.8,5,red
7.8,0.76,0.04,2.3,0.092,0.015,0.054,997,3.26,0.65,9.8,5,red
11.2,0.28,0.56,1.9,0.075,0.017,0.06,998,3.16,0.58,9.8,6,red
7.4,0.7,0,1.9,0.076,0.011,0.034,997.8,3.51,0.56,9.4,5,red
7.4,0.66,0,1.8,0.075,0.013,0.04,997.8,3.51,0.56,9.4,5,red
7.9,0.6,0.06,1.6,0.069,0.015,0.059,996.4,3.3,0.46,9.4,5,red
7.3,0.65,0,1.2,0.065,0.015,0.021,994.6,3.39,0.47,10,7,red
7.8,0.58,0.02,2,0.073,0.009,0.018,996.8,3.36,0.57,9.5,7,red
7.5,0.5,0.36,6.1,0.071,0.017,0.102,997.8,3.35,0.8,10.5,5,red
6.7,0.58,0.08,1.8,0.097,0.015,0.065,995.9,3.28,0.54,9.2,5,red
7.5,0.5,0.36,6.1,0.071,0.017,0.102,997.8,3.35,0.8,10.5,5,red
5.6,0.615,0,1.6,0.089,0.016,0.059,994.3,3.58,0.52,9.9,5,red
7.8,0.61,0.29,1.6,0.114,0.009,0.029,997.4,3.26,1.56,9.1,5,red
8.9,0.62,0.18,3.8,0.176,0.052,0.145,998.6,3.16,0.88,9.2,5,red
8.9,0.62,0.19,3.9,0.17,0.051,0.148,998.6,3.17,0.93,9.2,5,red
8.5,0.28,0.56,1.8,0.092,0.035,0.103,996.9,3.3,0.75,10.5,7,red
8.1,0.56,0.28,1.7,0.368,0.016,0.056,996.8,3.11,1.28,9.3,5,red
7.4,0.59,0.08,4.4,0.086,0.006,0.029,997.4,3.38,0.5,9,4,red
7.9,0.32,0.51,1.8,0.341,0.017,0.056,996.9,3.04,1.08,9.2,6,red
8.9,0.22,0.48,1.8,0.077,0.029,0.06,996.8,3.39,0.53,9.4,6,red
7.6,0.39,0.31,2.3,0.082,0.023,0.071,998.2,3.52,0.65,9.7,5,red
7.9,0.43,0.21,1.6,0.106,0.01,0.037,996.6,3.17,0.91,9.5,5,red
8.5,0.49,0.11,2.3,0.084,0.009,0.067,996.8,3.17,0.53,9.4,5,red
6.9,0.4,0.14,2.4,0.085,0.021,0.04,996.8,3.43,0.63,9.7,6,red
6.3,0.39,0.16,1.4,0.08,0.011,0.023,995.5,3.34,0.56,9.3,5,red
7.6,0.41,0.24,1.8,0.08,0.004,0.011,996.2,3.28,0.59,9.5,5,red
7.9,0.43,0.21,1.6,0.106,0.01,0.037,996.6,3.17,0.91,9.5,5,red
7.1,0.71,0,1.9,0.08,0.014,0.035,997.2,3.47,0.55,9.4,5,red
7.8,0.645,0,2,0.082,0.008,0.016,996.4,3.38,0.59,9.8,6,red
6.7,0.675,0.07,2.4,0.089,0.017,0.082,995.8,3.35,0.54,10.1,5,red
6.9,0.685,0,2.5,0.105,0.022,0.037,996.6,3.46,0.57,10.6,6,red
8.3,0.655,0.12,2.3,0.083,0.015,0.113,996.6,3.17,0.66,9.8,5,red
6.9,0.605,0.12,10.7,0.073,0.04,0.083,999.3,3.45,0.52,9.4,6,red
5.2,0.32,0.25,1.8,0.103,0.013,0.05,995.7,3.38,0.55,9.2,5,red
7.8,0.645,0,5.5,0.086,0.005,0.018,998.6,3.4,0.55,9.6,6,red
7.8,0.6,0.14,2.4,0.086,0.003,0.015,997.5,3.42,0.6,10.8,6,red
8.1,0.38,0.28,2.1,0.066,0.013,0.03,996.8,3.23,0.73,9.7,7,red
5.7,1.13,0.09,1.5,0.172,0.007,0.019,994,3.5,0.48,9.8,4,red
7.3,0.45,0.36,5.9,0.074,0.012,0.087,997.8,3.33,0.83,10.5,5,red
7.3,0.45,0.36,5.9,0.074,0.012,0.087,997.8,3.33,0.83,10.5,5,red
8.8,0.61,0.3,2.8,0.088,0.017,0.046,997.6,3.26,0.51,9.3,4,red
7.5,0.49,0.2,2.6,0.332,0.008,0.014,996.8,3.21,0.9,10.5,6,red
8.1,0.66,0.22,2.2,0.069,0.009,0.023,996.8,3.3,1.2,10.3,5,red
6.8,0.67,0.02,1.8,0.05,0.005,0.011,996.2,3.48,0.52,9.5,5,red
4.6,0.52,0.15,2.1,0.054,0.008,0.065,993.4,3.9,0.56,13.1,4,red
7.7,0.935,0.43,2.2,0.114,0.022,0.114,997,3.25,0.73,9.2,5,red
8.7,0.29,0.52,1.6,0.113,0.012,0.037,996.9,3.25,0.58,9.5,5,red
6.4,0.4,0.23,1.6,0.066,0.005,0.012,995.8,3.34,0.56,9.2,5,red
5.6,0.31,0.37,1.4,0.074,0.012,0.096,995.4,3.32,0.58,9.2,5,red
8.8,0.66,0.26,1.7,0.074,0.004,0.023,997.1,3.15,0.74,9.2,5,red
